,country,points,variety,winery,winery_search
22942,US,86,Riesling,College Cellars,College Cellars winery US
22947,US,86,Pinot Noir,Laurelwood,Laurelwood winery US
22952,US,86,Pinot Noir,Firesteed,Firesteed winery US
22953,US,86,Cabernet Sauvignon,Four Vines,Four Vines winery US
22955,US,86,Pinot Noir,Irvine Family Vineyards,Irvine Family Vineyards winery US
22957,Argentina,86,Pinot Noir,Aniello,Aniello winery Argentina
22958,US,86,Sauvignon Blanc,Barnard Griffin,Barnard Griffin winery US
22969,US,87,Sauvignon Blanc,Star Lane Vineyard,Star Lane Vineyard winery US
22971,US,87,Pinot Noir,TeBri Vineyards,TeBri Vineyards winery US
22972,France,87,Pinot Noir,Tendil & Lombardi,Tendil & Lombardi winery France
22980,US,87,Chardonnay,Line 39,Line 39 winery US
22981,US,87,Chardonnay,Lyeth,Lyeth winery US
22982,Chile,87,Cabernet Sauvignon,Maquis,Maquis winery Chile
22983,Chile,87,Syrah,Matetic,Matetic winery Chile
22986,US,87,Chardonnay,Mount Eden Vineyards,Mount Eden Vineyards winery US
22995,Chile,87,Cabernet Sauvignon,Domaines Barons de Rothschild (Lafite),Domaines Barons de Rothschild (Lafite) winery Chile
22997,US,91,Pinot Noir,Carabella,Carabella winery US
22998,US,91,Chardonnay,Cebada,Cebada winery US
23001,US,91,Chardonnay,Fritz,Fritz winery US
23005,US,91,Pinot Noir,WillaKenzie Estate,WillaKenzie Estate winery US
23006,US,91,Syrah,Muscardini,Muscardini winery US
23007,US,91,Chardonnay,Riverbench,Riverbench winery US
23008,US,91,Pinot Noir,Scott Paul,Scott Paul winery US
23009,US,91,Pinot Noir,Sokol Blosser,Sokol Blosser winery US
23014,US,91,Pinot Noir,Big Basin,Big Basin winery US
23017,US,91,Syrah,Cottonwood Canyon,Cottonwood Canyon winery US
23019,Germany,91,Riesling,Dr. Heidemanns-Bergweiler,Dr. Heidemanns-Bergweiler winery Germany
23020,US,91,Sauvignon Blanc,Hourglass,Hourglass winery US
23022,US,91,Chardonnay,Joseph Phelps,Joseph Phelps winery US
23024,US,91,Cabernet Sauvignon,Le Vigne,Le Vigne winery US
23025,US,91,Pinot Noir,Domaine Serene,Domaine Serene winery US
23026,US,88,Pinot Noir,Reata,Reata winery US
23027,US,88,Chardonnay,Seven Falls,Seven Falls winery US
23029,France,88,Pinot Noir,Antonin Rodet,Antonin Rodet winery France
23031,Spain,88,Cabernet Sauvignon,Casa L'Angel,Casa L'Angel winery Spain
23034,France,88,Chardonnay,Domaine du Chalet Pouilly,Domaine du Chalet Pouilly winery France
23036,US,88,Cabernet Sauvignon,Chateau St. Jean,Chateau St. Jean winery US
23039,France,88,Chardonnay,Damien et Romain Bouchard,Damien et Romain Bouchard winery France
23040,US,88,Chardonnay,De Loach,De Loach winery US
23042,US,88,Chardonnay,Freemark Abbey,Freemark Abbey winery US
23044,US,88,Pinot Noir,Gundlach Bundschu,Gundlach Bundschu winery US
23046,US,88,Merlot,Ancient Peaks,Ancient Peaks winery US
23047,US,88,Cabernet Sauvignon,Ankh,Ankh winery US
23050,France,88,Pinot Noir,Vignerons de Buxy,Vignerons de Buxy winery France
23051,US,88,Pinot Noir,Walt,Walt winery US
23053,US,88,Merlot,Hogue,Hogue winery US
23056,France,91,Sauvignon Blanc,Henri Bourgeois,Henri Bourgeois winery France
23058,US,91,Pinot Noir,Longboard,Longboard winery US
23060,Australia,91,Cabernet Sauvignon,Shirvington,Shirvington winery Australia
23061,US,91,Pinot Noir,Archery Summit,Archery Summit winery US
23062,US,91,Pinot Noir,Babcock,Babcock winery US
23067,France,91,Sauvignon Blanc,Saget la Perrière,Saget la Perrière winery France
23068,US,91,Chardonnay,Summers,Summers winery US
23071,US,91,Pinot Noir,Windstream,Windstream winery US
23072,US,91,Pinot Noir,Davis Family,Davis Family winery US
23073,Australia,90,Cabernet Sauvignon,Langmeil,Langmeil winery Australia
23075,France,90,Chardonnay,Andre et Mireille Tissot,Andre et Mireille Tissot winery France
23076,US,90,Cabernet Sauvignon,Bello Family Vineyards,Bello Family Vineyards winery US
23082,US,90,Chardonnay,JCB,JCB winery US
23084,Germany,89,Riesling,Baron Knyphausen,Baron Knyphausen winery Germany
23087,US,89,Merlot,Duckhorn,Duckhorn winery US
23088,Germany,88,Riesling,Peter Mertes,Peter Mertes winery Germany
23089,US,88,Pinot Noir,Vista Hills,Vista Hills winery US
23092,US,88,Chardonnay,Truchard,Truchard winery US
23093,US,88,Chardonnay,Keenan,Keenan winery US
23096,US,88,Cabernet Sauvignon,Lazy Susan Ranch,Lazy Susan Ranch winery US
23099,US,88,Chardonnay,Longboard,Longboard winery US
23101,US,88,Chardonnay,Oak Knoll,Oak Knoll winery US
23104,US,88,Cabernet Sauvignon,Riboli,Riboli winery US
23105,France,88,Sauvignon Blanc,Sauvion,Sauvion winery France
23107,US,88,Cabernet Sauvignon,Simi,Simi winery US
23113,US,89,Pinot Noir,Rancho Sisquoc,Rancho Sisquoc winery US
23114,US,89,Cabernet Sauvignon,Sheridan Vineyard,Sheridan Vineyard winery US
23116,US,89,Cabernet Sauvignon,William Hill Estate,William Hill Estate winery US
23119,Chile,89,Pinot Noir,Arboleda,Arboleda winery Chile
23122,US,89,Rosé,Bliss,Bliss winery US
23125,US,89,Rosé,Bonny Doon,Bonny Doon winery US
23140,US,90,Cabernet Sauvignon,Stag's Leap Wine Cellars,Stag's Leap Wine Cellars winery US
23141,US,90,Sauvignon Blanc,Steelhead Vineyards,Steelhead Vineyards winery US
23151,Bulgaria,90,Pinot Noir,K Cellars,K Cellars winery Bulgaria
23156,US,90,Syrah,MacLaren,MacLaren winery US
23162,US,90,Rosé,Quady North,Quady North winery US
23168,US,93,Pinot Noir,Fort Ross,Fort Ross winery US
23169,US,93,Chardonnay,Gary Farrell,Gary Farrell winery US
23170,US,93,Chardonnay,Alma Rosa,Alma Rosa winery US
23171,US,93,Pinot Noir,Babcock,Babcock winery US
23177,US,93,Pinot Noir,J Vineyards & Winery,J Vineyards & Winery winery US
23178,US,93,Pinot Noir,Wayfarer,Wayfarer winery US
23179,Germany,93,Riesling,Dr. Loosen,Dr. Loosen winery Germany
23181,US,93,Chardonnay,Domaine Serene,Domaine Serene winery US
23182,Germany,93,Riesling,Fritz Haag,Fritz Haag winery Germany
23187,Germany,93,Riesling,Dr. H. Thanisch (Erben Thanisch),Dr. H. Thanisch (Erben Thanisch) winery Germany
23188,US,93,Pinot Noir,Dutton-Goldfield,Dutton-Goldfield winery US
23189,US,93,Pinot Noir,Foxen,Foxen winery US
23190,Germany,93,Riesling,Maximin Grünhäuser,Maximin Grünhäuser winery Germany
23194,US,93,Syrah,Cayuse,Cayuse winery US
23195,US,93,Syrah,Heintz,Heintz winery US
23199,US,90,Sauvignon Blanc,Hersly,Hersly winery US
23200,US,90,Pinot Noir,Iris Vineyards,Iris Vineyards winery US
23202,Germany,90,Riesling,Karl Schaefer,Karl Schaefer winery Germany
23203,US,90,Chardonnay,La Follette,La Follette winery US
23206,US,90,Pinot Noir,Loring Wine Company,Loring Wine Company winery US
23208,Germany,90,Riesling,Maximin Grünhäuser,Maximin Grünhäuser winery Germany
23210,US,90,Cabernet Sauvignon,Medlock Ames,Medlock Ames winery US
23213,Chile,90,Cabernet Sauvignon,Undurraga,Undurraga winery Chile
23214,US,90,Pinot Noir,V. Sattui,V. Sattui winery US
23218,Germany,90,Rosé,Wittmann,Wittmann winery Germany
23219,US,90,Chardonnay,World's End,World's End winery US
23227,US,90,Chardonnay,Rusack,Rusack winery US
23228,New Zealand,89,Pinot Noir,Decibel,Decibel winery New Zealand
23230,France,89,Rosé,Domaine de la Vallongue,Domaine de la Vallongue winery France
23232,France,89,Chardonnay,Domaine Ellevin,Domaine Ellevin winery France
23236,US,89,Rosé,Lieb,Lieb winery US
23237,Italy,89,Chardonnay,Marchesi de' Frescobaldi,Marchesi de' Frescobaldi winery Italy
23239,New Zealand,89,Pinot Noir,Martinborough Vineyard,Martinborough Vineyard winery New Zealand
23241,France,89,Rosé,Domaine Val d'Astier,Domaine Val d'Astier winery France
23245,US,89,Pinot Noir,En Garde,En Garde winery US
23247,Italy,89,Cabernet Sauvignon,Fattoria San Felo,Fattoria San Felo winery Italy
23248,US,89,Syrah,Flying Dreams,Flying Dreams winery US
23251,US,89,Chardonnay,Apex,Apex winery US
23252,US,89,Chardonnay,Ashan,Ashan winery US
23254,France,89,Rosé,Bernard Magrez,Bernard Magrez winery France
23255,US,89,Riesling,Bloomer Creek,Bloomer Creek winery US
23256,US,89,Riesling,Brooklyn Winery,Brooklyn Winery winery US
23258,Chile,85,Chardonnay,Gracia de Chile,Gracia de Chile winery Chile
23263,Argentina,85,Chardonnay,Domaine Jean Bousquet,Domaine Jean Bousquet winery Argentina
23264,Argentina,85,Cabernet Sauvignon,Melipal,Melipal winery Argentina
23265,Chile,85,Merlot,Santa Alicia,Santa Alicia winery Chile
23267,US,85,Cabernet Sauvignon,Sonnet Cellars,Sonnet Cellars winery US
23269,Chile,85,Pinot Noir,Viña Tabalí,Viña Tabalí winery Chile
23273,Argentina,85,Sauvignon Blanc,Familia Mayol,Familia Mayol winery Argentina
23274,US,85,Cabernet Sauvignon,Grasso,Grasso winery US
23275,US,85,Pinot Noir,Grayson,Grayson winery US
23276,Chile,85,Cabernet Sauvignon,Viu Manent,Viu Manent winery Chile
23277,Australia,85,Chardonnay,West Cape Howe,West Cape Howe winery Australia
23278,US,85,Pinot Noir,Taz,Taz winery US
23279,US,91,Pinot Noir,Purple Hands,Purple Hands winery US
23282,US,91,Cabernet Sauvignon,Smith-Madrone,Smith-Madrone winery US
23289,US,91,Cabernet Sauvignon,Amici,Amici winery US
23294,Germany,91,Riesling,Dr. Loosen,Dr. Loosen winery Germany
23295,Germany,91,Riesling,Dr. Loosen,Dr. Loosen winery Germany
23296,US,91,Chardonnay,Flowers,Flowers winery US
23297,Italy,91,Chardonnay,Vie di Romans,Vie di Romans winery Italy
23298,US,91,Pinot Noir,Vista Hills,Vista Hills winery US
23300,US,91,Pinot Noir,WildAire,WildAire winery US
23301,US,91,Riesling,Zocker,Zocker winery US
23305,US,91,Chardonnay,Ramey,Ramey winery US
23306,Germany,91,Riesling,Schloss Saarstein,Schloss Saarstein winery Germany
23307,US,91,Pinot Noir,Aiken,Aiken winery US
23312,Portugal,87,Syrah,Cooperativa Agricola de Santo Isidro de Pegoes,Cooperativa Agricola de Santo Isidro de Pegoes winery Portugal
23318,US,87,Chardonnay,Jason-Stephens,Jason-Stephens winery US
23336,US,87,Pinot Noir,Garnet Vineyards,Garnet Vineyards winery US
23348,US,90,Pinot Noir,Drew,Drew winery US
23349,US,90,Sauvignon Blanc,John Anthony,John Anthony winery US
23353,US,90,Cabernet Sauvignon,Stuhlmuller Vineyards,Stuhlmuller Vineyards winery US
23355,US,90,Cabernet Sauvignon,Trivium,Trivium winery US
23356,US,90,Sauvignon Blanc,Tyler Florence,Tyler Florence winery US
23357,US,90,Cabernet Sauvignon,Frank Family,Frank Family winery US
23358,US,90,Chardonnay,Frank Family,Frank Family winery US
23359,US,90,Riesling,Hermann J. Wiemer,Hermann J. Wiemer winery US
23363,New Zealand,90,Pinot Noir,Croney Estates,Croney Estates winery New Zealand
23365,New Zealand,90,Chardonnay,Neudorf,Neudorf winery New Zealand
23367,US,92,Pinot Noir,Belle Glos,Belle Glos winery US
23368,US,92,Cabernet Sauvignon,Cali 351,Cali 351 winery US
23369,US,92,Riesling,Chateau Ste. Michelle & Dr. Loosen,Chateau Ste. Michelle & Dr. Loosen winery US
23377,US,92,Pinot Noir,Waits-Mast,Waits-Mast winery US
23378,US,92,Syrah,Eponymous,Eponymous winery US
23386,US,92,Syrah,Arbor Crest,Arbor Crest winery US
23387,Austria,92,Chardonnay,Bründlmayer,Bründlmayer winery Austria
23390,France,87,Chardonnay,Domaine Faiveley,Domaine Faiveley winery France
23393,US,87,Syrah,Jawbone,Jawbone winery US
23394,US,87,Cabernet Sauvignon,Jean Edwards,Jean Edwards winery US
23398,US,87,Sauvignon Blanc,Mayacamas,Mayacamas winery US
23399,Portugal,87,Pinot Noir,Murganheira,Murganheira winery Portugal
23401,Italy,87,Chardonnay,Cà del Vént,Cà del Vént winery Italy
23402,Italy,87,Chardonnay,Cà del Vént,Cà del Vént winery Italy
23403,Italy,87,Chardonnay,Castelveder,Castelveder winery Italy
23404,US,87,Cabernet Sauvignon,Rodney Strong,Rodney Strong winery US
23405,US,87,Sauvignon Blanc,Rodney Strong,Rodney Strong winery US
23406,US,87,Chardonnay,RustRidge,RustRidge winery US
23407,US,87,Pinot Noir,Ventosa,Ventosa winery US
23410,US,87,Cabernet Sauvignon,Castello di Amorosa,Castello di Amorosa winery US
23411,US,87,Chardonnay,Château Potelle,Château Potelle winery US
23412,US,82,Chardonnay,Biltmore Estate,Biltmore Estate winery US
23415,France,82,Rosé,Bougrier,Bougrier winery France
23417,Spain,82,Cabernet Sauvignon,Enate,Enate winery Spain
23418,US,82,Merlot,Michel-Schlumberger,Michel-Schlumberger winery US
23423,US,82,Cabernet Sauvignon,Estate 1856,Estate 1856 winery US
23425,US,81,Rosé,Raffaldini,Raffaldini winery US
23434,US,81,Rosé,Jones von Drehle,Jones von Drehle winery US
23436,Argentina,80,Chardonnay,Tres Exilios,Tres Exilios winery Argentina
23438,France,96,Pinot Noir,Domaine Rossignol-Trapet,Domaine Rossignol-Trapet winery France
23439,France,96,Chardonnay,Bouchard Père & Fils,Bouchard Père & Fils winery France
23440,France,96,Pinot Noir,Bouchard Père & Fils,Bouchard Père & Fils winery France
23443,Argentina,86,Cabernet Sauvignon,Tour 52,Tour 52 winery Argentina
23448,US,86,Chardonnay,Lamoreaux Landing,Lamoreaux Landing winery US
23449,Argentina,86,Cabernet Sauvignon,Familia Cassone,Familia Cassone winery Argentina
23450,US,86,Pinot Noir,Calcareous,Calcareous winery US
23451,US,86,Cabernet Sauvignon,Chaddsford,Chaddsford winery US
23452,US,86,Merlot,Turnbull,Turnbull winery US
23453,US,86,Syrah,Jalama,Jalama winery US
23457,US,86,Cabernet Sauvignon,Delfosse,Delfosse winery US
23459,US,86,Chardonnay,J. Lohr,J. Lohr winery US
23463,France,91,Sauvignon Blanc,Joseph Mellot,Joseph Mellot winery France
23464,US,91,Syrah,Longboard,Longboard winery US
23465,US,91,Pinot Noir,Robert Mondavi,Robert Mondavi winery US
23467,US,91,Pinot Noir,Rex Hill,Rex Hill winery US
23468,US,91,Pinot Noir,Byron,Byron winery US
23471,France,91,Riesling,Cave Freudenreich,Cave Freudenreich winery France
23472,France,91,Riesling,Domaine Roland Schmitt,Domaine Roland Schmitt winery France
23473,France,91,Riesling,Domaine Vincent Stoeffler,Domaine Vincent Stoeffler winery France
23474,France,91,Riesling,Josmeyer,Josmeyer winery France
23482,US,91,Pinot Noir,Guarachi Family,Guarachi Family winery US
23484,France,91,Riesling,Zusslin,Zusslin winery France
23485,US,91,Pinot Noir,De Tierra,De Tierra winery US
23486,US,91,Pinot Noir,Testarossa,Testarossa winery US
23487,France,90,Pinot Noir,René Muré,René Muré winery France
23488,US,90,Sauvignon Blanc,Rocky Point,Rocky Point winery US
23490,Australia,90,Sauvignon Blanc,Shaw and Smith,Shaw and Smith winery Australia
23491,US,90,Sauvignon Blanc,Sivas-Sonoma,Sivas-Sonoma winery US
23493,US,90,Pinot Noir,The Decision,The Decision winery US
23497,US,90,Pinot Noir,Friedeman,Friedeman winery US
23500,Australia,90,Pinot Noir,McPherson Wine Company,McPherson Wine Company winery Australia
23502,US,90,Pinot Noir,Omero,Omero winery US
23503,US,90,Chardonnay,Parmeson,Parmeson winery US
23506,US,90,Pinot Noir,Schug,Schug winery US
23508,US,90,Pinot Noir,Two Sisters,Two Sisters winery US
23509,France,90,Riesling,Joseph Cattin,Joseph Cattin winery France
23512,US,90,Pinot Noir,Lula,Lula winery US
23514,Italy,90,Chardonnay,Marchesi de' Frescobaldi,Marchesi de' Frescobaldi winery Italy
23518,Chile,86,Chardonnay,Quintay,Quintay winery Chile
23519,US,86,Cabernet Sauvignon,Robert Mondavi,Robert Mondavi winery US
23520,Chile,86,Pinot Noir,Terrapura,Terrapura winery Chile
23521,US,86,Syrah,Tin Barn,Tin Barn winery US
23524,Chile,86,Cabernet Sauvignon,Viña Requingua,Viña Requingua winery Chile
23525,US,86,Pinot Noir,Agnitio,Agnitio winery US
23526,US,86,Sauvignon Blanc,Jason-Stephens,Jason-Stephens winery US
23527,France,86,Rosé,Le Cercle des Vignerons Saint-Louis,Le Cercle des Vignerons Saint-Louis winery France
23528,US,86,Pinot Noir,Manzoni,Manzoni winery US
23530,Chile,86,Pinot Noir,Morandé,Morandé winery Chile
23532,US,86,Pinot Noir,Picayune,Picayune winery US
23533,US,86,Sauvignon Blanc,Picayune,Picayune winery US
23534,US,86,Merlot,Market Vineyards,Market Vineyards winery US
23535,US,86,Sauvignon Blanc,Provenance Vineyards,Provenance Vineyards winery US
23540,US,85,Cabernet Sauvignon,Louis M. Martini,Louis M. Martini winery US
23541,France,85,Pinot Noir,Louis Max,Louis Max winery France
23545,France,84,Chardonnay,Domaine de Guiot,Domaine de Guiot winery France
23546,France,84,Chardonnay,Domaine Jayer-Gilles,Domaine Jayer-Gilles winery France
23547,Chile,84,Chardonnay,Errazuriz,Errazuriz winery Chile
23550,Chile,84,Pinot Noir,Veramonte,Veramonte winery Chile
23552,Argentina,84,Chardonnay,Bodega Norton,Bodega Norton winery Argentina
23554,Chile,84,Cabernet Sauvignon,Chono,Chono winery Chile
23556,US,84,Chardonnay,Comtesse Thérèse,Comtesse Thérèse winery US
23557,US,84,Syrah,Deerfield Ranch,Deerfield Ranch winery US
23558,US,84,Chardonnay,Hazlitt 1852 Vineyards,Hazlitt 1852 Vineyards winery US
23559,France,84,Rosé,Mas Belles Eaux,Mas Belles Eaux winery France
23560,US,84,Pinot Noir,Murphy-Goode,Murphy-Goode winery US
23562,Argentina,84,Merlot,Rutini,Rutini winery Argentina
23563,US,84,Chardonnay,Saddleback,Saddleback winery US
23564,Chile,84,Syrah,Santa Carolina,Santa Carolina winery Chile
23565,Chile,84,Cabernet Sauvignon,Santa Ema,Santa Ema winery Chile
23566,France,84,Chardonnay,Simonnet-Febvre,Simonnet-Febvre winery France
23568,US,93,Cabernet Sauvignon,C. Beck,C. Beck winery US
23571,US,93,Pinot Noir,Small Vines,Small Vines winery US
23572,US,93,Chardonnay,Stonestreet,Stonestreet winery US
23573,US,93,Chardonnay,Stonestreet,Stonestreet winery US
23577,US,93,Cabernet Sauvignon,Von Strasser,Von Strasser winery US
23578,US,93,Cabernet Sauvignon,Peju,Peju winery US
23580,US,93,Chardonnay,De Loach,De Loach winery US
23583,US,93,Chardonnay,Sanford,Sanford winery US
23584,US,93,Chardonnay,Sanford,Sanford winery US
23586,France,93,Chardonnay,Henriot,Henriot winery France
23589,US,93,Cabernet Sauvignon,Beresan,Beresan winery US
23590,US,93,Pinot Noir,Breggo,Breggo winery US
23592,US,93,Chardonnay,Stonestreet,Stonestreet winery US
23594,France,91,Pinot Noir,Domaine de la Vougeraie,Domaine de la Vougeraie winery France
23595,France,91,Pinot Noir,Domaine de la Vougeraie,Domaine de la Vougeraie winery France
23596,France,91,Chardonnay,Domaine Jean Monnier et Fils,Domaine Jean Monnier et Fils winery France
23598,US,91,Pinot Noir,Dutton Estate,Dutton Estate winery US
23600,US,91,Pinot Noir,Gehricke,Gehricke winery US
23601,US,91,Chardonnay,Goodfellow,Goodfellow winery US
23606,Portugal,91,Merlot,Nelson Neves,Nelson Neves winery Portugal
23607,US,91,Cabernet Sauvignon,Parducci,Parducci winery US
23610,US,91,Sauvignon Blanc,Presqu'ile,Presqu'ile winery US
23614,US,91,Sauvignon Blanc,Roth,Roth winery US
23615,US,91,Pinot Noir,St. Innocent,St. Innocent winery US
23616,US,91,Pinot Noir,St. Innocent,St. Innocent winery US
23617,Argentina,91,Cabernet Sauvignon,Terrazas de Los Andes,Terrazas de Los Andes winery Argentina
23618,US,91,Chardonnay,Testarossa,Testarossa winery US
23620,France,91,Chardonnay,Château Vitallis,Château Vitallis winery France
23621,France,91,Chardonnay,Château Vitallis,Château Vitallis winery France
23622,France,91,Chardonnay,Christophe Cordier,Christophe Cordier winery France
23623,France,91,Pinot Noir,Domaine Arnoux Père et Fils,Domaine Arnoux Père et Fils winery France
23625,US,90,Merlot,Cornerstone,Cornerstone winery US
23626,US,90,Riesling,Dr. Konstantin Frank,Dr. Konstantin Frank winery US
23627,Austria,90,Chardonnay,Erwin Sabathi,Erwin Sabathi winery Austria
23628,Austria,90,Chardonnay,Esterházy,Esterházy winery Austria
23631,US,89,Chardonnay,Benaddiction,Benaddiction winery US
23632,US,89,Syrah,Burnt Bridge,Burnt Bridge winery US
23646,US,89,Syrah,Cougar Crest,Cougar Crest winery US
23647,US,89,Cabernet Sauvignon,Cupcake,Cupcake winery US
